country_id,total_GDP,world_share,PPP_GDP_per_capita,absolute_GDP_per_capita,vsWorld_PPP_GDP_per_capita($20645)
43,25462700000000,0.2532,76399.0,75269.0,3.7006054734802616
107,17963200000000,0.1786,21476.0,12598.0,1.0402518769677889
125,4231140000000,0.0421,45573.0,34135.0,2.2074594332768225
6,4072190000000,0.0405,63150.0,48845.0,3.058852022281424
127,3385090000000,0.0337,8379.0,2389.0,0.40586098328893194
15,3070670000000,0.0305,54603.0,45485.0,2.6448534754177766
40,2782910000000,0.0277,55493.0,43061.0,2.6879631872124
173,2240420000000,0.0223,36485.0,15482.0,1.7672559941874546
30,2139840000000,0.0213,58400.0,55646.0,2.8287720997820296
79,2010430000000,0.02,51865.0,34053.0,2.5122305643012837
57,1920100000000,0.0191,17822.0,8918.0,0.8632598692177282
25,1675420000000,0.0167,62625.0,64003.0,3.0334221361104383
105,1665250000000,0.0166,50070.0,32138.0,2.425284572535723
33,1414190000000,0.0141,21512.0,11091.0,1.041995640590942
18,1397510000000,0.0139,45825.0,29385.0,2.2196657786388956
88,1319100000000,0.0131,14653.0,4788.0,0.7097602325018164
131,1108150000000,0.011,59065.0,30436.0,2.8609832889319446
28,991115000000,0.0099,69577.0,56429.0,3.3701622668927103
129,905988000000,0.009,37274.0,10616.0,1.8054734802615646
21,807706000000,0.008,83598.0,92410.0,4.049309760232502
60,688177000000,0.0068,43269.0,17266.0,2.0958585613950107
36,632770000000,0.0063,26505.0,13904.0,1.2838459675466214
5,585939000000,0.0058,64578.0,55543.0,3.128021312666505
2,579267000000,0.0058,114899.0,106594.0,5.565463792685881
10,578604000000,0.0058,65027.0,49640.0,3.1497699200775005
11,529245000000,0.0053,126905.0,105362.0,6.147008961007508
84,522033000000,0.0052,49509.0,57758.0,2.398110922741584
71,507535000000,0.005,87729.0,53758.0,4.249406635989343
74,495341000000,0.0049,20672.0,6909.0,1.001307822717365
130,477386000000,0.0047,5860.0,2184.0,0.28384596754662145
134,476748000000,0.0047,15091.0,4295.0,0.7309760232501816
47,471400000000,0.0047,67936.0,52732.0,3.2906757084039717
49,466789000000,0.0046,127565.0,78115.0,6.178977960765319
59,460201000000,0.0046,7395.0,2688.0,0.35819811092274156
72,408802000000,0.0041,13457.0,4164.0,0.65182852991039
102,406306000000,0.004,33434.0,11972.0,1.6194720271252119
20,405870000000,0.004,15905.0,6776.0,0.7704044562848147
16,404284000000,0.004,10133.0,3499.0,0.49082102203923467
23,395404000000,0.0039,74005.0,67220.0,3.5846451925405667
143,388544000000,0.0039,18075.0,4388.0,0.8755146524582224
142,376533000000,0.0037,6437.0,1597.0,0.3117946233954953
42,343939000000,0.0034,20287.0,6630.0,0.9826592395253088
87,301262000000,0.003,41888.0,15324.0,2.0289658512957134
27,301025000000,0.003,30209.0,15355.0,1.4632598692177283
101,290924000000,0.0029,49946.0,27723.0,2.419278275611528
3,280826000000,0.0028,59027.0,50684.0,2.8591426495519494
162,264182000000,0.0026,10862.0,5937.0,0.5261322354080892
32,251945000000,0.0025,41452.0,24530.0,2.00784693630419
4,247234000000,0.0025,51967.0,47680.0,2.517171227900218
34,242632000000,0.0024,15048.0,7126.0,0.7288931944780819
133,237296000000,0.0024,114648.0,88046.0,5.553305885202228
61,220623000000,0.0022,30810.0,11373.0,1.4923710341487042
93,219066000000,0.0022,36835.0,21095.0,1.7842092516347785
144,191913000000,0.0019,13210.0,4274.0,0.6398643739404214
120,184558000000,0.0018,58056.0,43233.0,2.812109469605231
99,178789000000,0.0018,41907.0,17938.0,2.029886170985711
66,160503000000,0.0016,12671.0,4043.0,0.6137563574715428
136,134182000000,0.0013,9519.0,3582.0,0.46108016468878665
75,126783000000,0.0013,2812.0,1028.0,0.13620731411964157
63,115469000000,0.0011,37459.0,20461.0,1.8144344877694356
50,115049000000,0.0011,12822.0,6391.0,0.6210704771131025
139,114667000000,0.0011,41724.0,25057.0,2.0210220392346816
81,113642000000,0.0011,22834.0,10121.0,1.1060305158634052
77,113420000000,0.0011,5764.0,2099.0,0.2791959312182126
118,106714000000,0.0011,6974.0,2999.0,0.3378057641075321
117,95003333381,0.0009,10818.0,5324.0,0.5240009687575684
65,89040398406,0.0009,33582.0,13129.0,1.6266408331315088
44,82274812251,0.0008,142214.0,127046.0,6.888544441753451
190,80391853885,0.0008,9533.0,2322.0,0.4617582949866796
97,78721058824,0.0008,17764.0,7600.0,0.8604504722693146
58,76522511781,0.0008,39280.0,17358.0,1.9026398643739404
48,75709289056,0.0008,3097.0,1156.0,0.15001210946960522
115,74403578363,0.0007,14405.0,3408.0,0.6977476386534269
100,72838798788,0.0007,6498.0,2176.0,0.3147493339791717
41,72793457588,0.0007,22591.0,7634.0,1.0942601114071204
67,71177146197,0.0007,28842.0,20795.0,1.3970452894163237
56,70964606465,0.0007,40380.0,17608.0,1.9559215306369582
9,70334299008,0.0007,48397.0,25576.0,2.344248001937515
123,70018715017,0.0007,6538.0,2486.0,0.3166868491160087
14,68380838316,0.0007,24923.0,13199.0,1.2072172438847177
38,63501748652,0.0006,23911.0,8794.0,1.1581981109227415
29,62117768015,0.0006,50032.0,29303.0,2.4234439331557276
122,59364362541,0.0006,4870.0,1096.0,0.23589246790990553
140,58065953573,0.0006,1337.0,586.0,0.06476144344877695
184,51662241775,0.0005,4216.0,1102.0,0.20421409542262048
126,47451499859,0.0005,11003.0,4205.0,0.5329619762654396
128,46664948952,0.0005,12490.0,3777.0,0.6049891014773553
164,45752336036,0.0005,23375.0,6716.0,1.1322354080891257
78,45559202049,0.0005,2694.0,964.0,0.1304916444659724
113,44390820479,0.0004,61228.0,30152.0,2.965754419956406
94,44341646509,0.0004,4408.0,1588.0,0.21351416807943813
55,43068885673,0.0004,9684.0,3523.0,0.4690724146282393
91,41722295362,0.0004,15977.0,6153.0,0.7738919835311213
13,41153912663,0.0004,39956.0,22238.0,1.9353838701864858
116,40828247302,0.0004,4725.0,1337.0,0.2288689755388714
22,38100812959,0.0004,46697.0,28732.0,2.2619036086219424
68,32488720000,0.0003,11096.0,5127.0,0.5374666989585856
53,31717700115,0.0003,6741.0,3040.0,0.3265197384354565
172,30633444295,0.0003,4447.0,3020.0,0.2154032453378542
92,29956769529,0.0003,5349.0,1787.0,0.2590942116735287
85,29784454056,0.0003,3894.0,1488.0,0.18861709857108258
106,28439052741,0.0003,49931.0,22724.0,2.4185517074352143
187,27899082337,0.0003,27778.0,18222.0,1.345507386776459
1,27841648044,0.0003,69081.0,74663.0,3.3461370791959313
104,27684430244,0.0003,4209.0,1599.0,0.203875030273674
76,24605375420,0.0002,20113.0,6571.0,0.9742310486800678
86,24527507288,0.0002,20377.0,7585.0,0.9870186485831921
169,21979475561,0.0002,55344.0,31618.0,2.680745943327682
137,21227749389,0.0002,3187.0,1532.0,0.15437151852748848
157,21071739228,0.0002,16471.0,8820.0,0.7978202954710584
45,20678055598,0.0002,2531.0,1267.0,0.12259627028336159
64,20352322157,0.0002,18323.0,7738.0,0.8875272463066117
161,20253551885,0.0002,3305.0,1748.0,0.16008718818115766
62,19502783988,0.0002,18942.0,7014.0,0.9175102930491644
195,19111900000,0.0002,6757.0,3640.0,0.3272947444901913
109,18884619613,0.0002,2546.0,833.0,0.12332283845967547
17,18882095518,0.0002,18552.0,6643.0,0.8986195204650036
141,18827176532,0.0002,2517.0,833.0,0.12191813998546863
26,17851491428,0.0002,1468.0,541.0,0.07110680552191814
70,17765270015,0.0002,55928.0,33313.0,2.7090336643255024
138,17401746309,0.0002,4056.0,1303.0,0.19646403487527248
24,17097760745,0.0002,11822.0,6047.0,0.5726325986921773
80,16810883361,0.0002,14230.0,4947.0,0.6892710099297651
193,16681531646,0.0002,69275.0,37152.0,3.3555340276095906
54,15724383783,0.0002,9384.0,2088.0,0.45454105110196175
7,15671583878,0.0002,6875.0,2255.0,0.3330104141438605
160,15357537068,0.0002,40642.0,18990.0,1.9686122547832405
51,14954967604,0.0001,1774.0,505.0,0.08592879631872125
19,14420947884,0.0001,15238.0,4406.0,0.7380963913780576
135,13969605583,0.0001,1505.0,533.0,0.07289900702349238
73,13563132057,0.0001,20162.0,6478.0,0.9766045047226931
12,13312796765,0.0001,2792.0,966.0,0.13523855655122305
110,13164667627,0.0001,1732.0,645.0,0.08389440542504238
98,12898307089,0.0001,26906.0,9926.0,1.3032695567934125
149,12897400000,0.0001,40379.0,31458.0,1.9558730927585373
145,12704149842,0.0001,1668.0,717.0,0.08079438120610317
8,12607436976,0.0001,11206.0,4911.0,0.5427948655848874
155,11813908448,0.0001,17396.0,7053.0,0.8426253330104141
83,10930644915,0.0001,6133.0,1649.0,0.29706950835553403
111,10492123388,0.0001,4885.0,1054.0,0.23661903608621943
167,10375460680,0.0001,6424.0,2191.0,0.31116493097602327
90,8126439481,0.0001,2608.0,918.0,0.12632598692177283
124,6189865408,0.0001,24772.0,11818.0,1.1999031242431581
69,6095978868,0.0001,26984.0,9721.0,1.3070477113102446
31,5637914515,0.0001,17837.0,20019.0,0.8639864373940421
121,4943248200,0.0,14125.0,5317.0,0.684185032695568
46,4854167638,0.0,10782.0,4040.0,0.5222572051344151
39,4001047150,0.0,1725.0,755.0,0.0835553402760959
112,3970343852,0.0,1931.0,461.0,0.0935335432308065
52,3620655116,0.0,17620.0,5858.0,0.8534754177767013
147,3352032737,0.0,,,
95,3163324631,0.0,4828.0,2358.0,0.23385807701622668
35,3073414678,0.0,836.0,238.0,0.04049406635989344
89,2824081836,0.0,11451.0,6968.0,0.5546621457980141
82,2553459763,0.0,2695.0,1107.0,0.13054008234439332
150,2382618615,0.0,967.0,427.0,0.04683942843303463
37,2314816792,0.0,9083.0,3903.0,0.43996124969726325
119,2273060863,0.0,2510.0,840.0,0.12157907483652217
175,2065027556,0.0,17756.0,11481.0,0.8600629692419473
148,1757603704,0.0,25337.0,18745.0,1.2272705255509808
159,1633559092,0.0,2190.0,776.0,0.1060789537418261
181,1595710784,0.0,2654.0,2203.0,0.12855412932913537
180,1588406479,0.0,35228.0,14829.0,1.7063695810123516
158,1256413185,0.0,16987.0,10016.0,0.8228142407362558
114,1242519407,0.0,3832.0,1485.0,0.18561395010898524
108,983582865,0.0,3289.0,3010.0,0.15931218212642287
174,961563259,0.0,34052.0,20177.0,1.6494066359893436
176,948558503,0.0,17207.0,9125.0,0.8334705739888593
177,832421565,0.0,6041.0,3743.0,0.29261322354080893
154,612048148,0.0,13573.0,8415.0,0.6574473238072173
179,546680342,0.0,4738.0,2404.0,0.22949866795834342
194,427094119,0.0,3855.0,792.0,0.1867280213126665
166,279667900,0.0,7228.0,6728.0,0.35010898522644707
163,223352943,0.0,2365.0,1702.0,0.11455558246548801
189,60349391,0.0,5421.0,5335.0,0.26258173891983533
